tweet_day,tone,tone_count
2018-01-01,Neutral,25444
2018-01-01,Positive,15286
2018-01-01,Negative,4789
2018-01-02,Neutral,34626
2018-01-02,Positive,20906
2018-01-02,Negative,6175
2018-01-03,Neutral,34196
2018-01-03,Positive,20536
2018-01-03,Negative,5801
2018-01-04,Neutral,32204
2018-01-04,Positive,19225
2018-01-04,Negative,6375
2018-01-05,Neutral,31215
2018-01-05,Positive,16810
2018-01-05,Negative,5717
2018-01-06,Neutral,23437
2018-01-06,Positive,14491
2018-01-06,Negative,3974
2018-01-07,Neutral,25170
2018-01-07,Positive,15460
2018-01-07,Negative,4637
2018-01-08,Neutral,33210
2018-01-08,Positive,19998
2018-01-08,Negative,6019
2018-01-09,Neutral,33788
2018-01-09,Positive,20971
2018-01-09,Negative,7863
2018-01-10,Neutral,40001
2018-01-10,Positive,20902
2018-01-10,Negative,8515
2018-01-11,Neutral,39198
2018-01-11,Positive,20644
2018-01-11,Negative,7683
2018-01-12,Neutral,33376
2018-01-12,Positive,19008
2018-01-12,Negative,6743
2018-01-13,Neutral,24873
2018-01-13,Positive,15903
2018-01-13,Negative,4498
2018-01-14,Neutral,25239
2018-01-14,Positive,15182
2018-01-14,Negative,5191
2018-01-15,Neutral,33765
2018-01-15,Positive,17886
2018-01-15,Negative,5331
2018-01-16,Neutral,49228
2018-01-16,Positive,25810
2018-01-16,Negative,9459
2018-01-17,Neutral,52937
2018-01-17,Positive,27451
2018-01-17,Negative,10496
2018-01-18,Neutral,37061
2018-01-18,Positive,22306
2018-01-18,Negative,6687
2018-01-19,Neutral,33347
2018-01-19,Positive,18878
2018-01-19,Negative,6370
2018-01-20,Neutral,25946
2018-01-20,Positive,14317
2018-01-20,Negative,4533
2018-01-21,Neutral,28663
2018-01-21,Positive,14733
2018-01-21,Negative,5028
2018-01-22,Neutral,35700
2018-01-22,Positive,20198
2018-01-22,Negative,6213
2018-01-23,Neutral,39615
2018-01-23,Positive,21284
2018-01-23,Negative,6256
2018-01-24,Neutral,37243
2018-01-24,Positive,21638
2018-01-24,Negative,5906
2018-01-25,Neutral,35277
2018-01-25,Positive,21754
2018-01-25,Negative,6254
2018-01-26,Neutral,32645
2018-01-26,Positive,18547
2018-01-26,Negative,5830
2018-01-27,Neutral,25914
2018-01-27,Positive,14501
2018-01-27,Negative,3929
2018-01-28,Neutral,26099
2018-01-28,Positive,15660
2018-01-28,Negative,4533
2018-01-29,Neutral,31384
2018-01-29,Positive,18317
2018-01-29,Negative,5728
2018-01-30,Neutral,36850
2018-01-30,Positive,18955
2018-01-30,Negative,7453
2018-01-31,Neutral,37873
2018-01-31,Positive,19281
2018-01-31,Negative,6088
2018-02-01,Neutral,42040
2018-02-01,Positive,20965
2018-02-01,Negative,8379
2018-02-02,Neutral,41490
2018-02-02,Positive,21917
2018-02-02,Negative,9428
2018-02-03,Neutral,26723
2018-02-03,Positive,15729
2018-02-03,Negative,5378
2018-02-04,Neutral,28301
2018-02-04,Positive,16427
2018-02-04,Negative,5363
2018-02-05,Neutral,46321
2018-02-05,Positive,26243
2018-02-05,Negative,10599
2018-02-06,Neutral,45345
2018-02-06,Positive,23348
2018-02-06,Negative,8968
2018-02-07,Neutral,36324
2018-02-07,Positive,20178
2018-02-07,Negative,5894
2018-02-08,Neutral,34075
2018-02-08,Positive,19176
2018-02-08,Negative,5957
2018-02-09,Neutral,31907
2018-02-09,Positive,17847
2018-02-09,Negative,5649
2018-02-10,Neutral,25950
2018-02-10,Positive,14250
2018-02-10,Negative,4360
2018-02-11,Neutral,26248
2018-02-11,Positive,14273
2018-02-11,Negative,4135
2018-02-12,Neutral,31587
2018-02-12,Positive,17722
2018-02-12,Negative,5651
2018-02-13,Neutral,30791
2018-02-13,Positive,17723
2018-02-13,Negative,5742
2018-02-14,Neutral,29409
2018-02-14,Positive,17305
2018-02-14,Negative,4568
2018-02-15,Neutral,32722
2018-02-15,Positive,18934
2018-02-15,Negative,5231
2018-02-16,Neutral,27796
2018-02-16,Positive,17715
2018-02-16,Negative,4746
2018-02-17,Neutral,23465
2018-02-17,Positive,14091
2018-02-17,Negative,4176
2018-02-18,Neutral,23526
2018-02-18,Positive,13803
2018-02-18,Negative,3759
2018-02-19,Neutral,28628
2018-02-19,Positive,17537
2018-02-19,Negative,4818
2018-02-20,Neutral,28933
2018-02-20,Positive,17911
2018-02-20,Negative,5982
2018-02-21,Neutral,28380
2018-02-21,Positive,16453
2018-02-21,Negative,5084
2018-02-22,Neutral,28043
2018-02-22,Positive,16657
2018-02-22,Negative,4845
2018-02-23,Neutral,24806
2018-02-23,Positive,14861
2018-02-23,Negative,4828
2018-02-24,Neutral,21750
2018-02-24,Positive,12596
2018-02-24,Negative,3471
2018-02-25,Neutral,22813
2018-02-25,Positive,12789
2018-02-25,Negative,3539
2018-02-26,Neutral,28088
2018-02-26,Positive,16463
2018-02-26,Negative,4800
2018-02-27,Neutral,29854
2018-02-27,Positive,16983
2018-02-27,Negative,4699
2018-02-28,Neutral,27525
2018-02-28,Positive,15425
2018-02-28,Negative,4719
2018-03-01,Neutral,25379
2018-03-01,Positive,14262
2018-03-01,Negative,4875
2018-03-02,Neutral,25106
2018-03-02,Positive,15257
2018-03-02,Negative,4250
2018-03-03,Neutral,21079
2018-03-03,Positive,12511
2018-03-03,Negative,3247
2018-03-04,Neutral,20511
2018-03-04,Positive,13004
2018-03-04,Negative,3965
2018-03-05,Neutral,26753
2018-03-05,Positive,15431
2018-03-05,Negative,4393
2018-03-06,Neutral,28330
2018-03-06,Positive,15976
2018-03-06,Negative,4777
2018-03-07,Neutral,28795
2018-03-07,Positive,16475
2018-03-07,Negative,6005
2018-03-08,Neutral,28334
2018-03-08,Positive,15556
2018-03-08,Negative,5387
2018-03-09,Neutral,27335
2018-03-09,Positive,13865
2018-03-09,Negative,4949
2018-03-10,Neutral,20533
2018-03-10,Positive,11476
2018-03-10,Negative,3436
2018-03-11,Neutral,20609
2018-03-11,Positive,12046
2018-03-11,Negative,3489
2018-03-12,Neutral,29087
2018-03-12,Positive,14815
2018-03-12,Negative,4712
2018-03-13,Neutral,28124
2018-03-13,Positive,14774
2018-03-13,Negative,4068
2018-03-14,Neutral,31404
2018-03-14,Positive,15732
2018-03-14,Negative,6017
2018-03-15,Neutral,28820
2018-03-15,Positive,16028
2018-03-15,Negative,4742
2018-03-16,Neutral,26683
2018-03-16,Positive,15322
2018-03-16,Negative,5114
2018-03-17,Neutral,22223
2018-03-17,Positive,12609
2018-03-17,Negative,4109
2018-03-18,Neutral,23793
2018-03-18,Positive,12323
2018-03-18,Negative,4741
2018-03-19,Neutral,27298
2018-03-19,Positive,14889
2018-03-19,Negative,4313
2018-03-20,Neutral,27009
2018-03-20,Positive,14525
2018-03-20,Negative,5019
2018-03-21,Neutral,26917
2018-03-21,Positive,14856
2018-03-21,Negative,5965
2018-03-22,Neutral,26072
2018-03-22,Positive,13292
2018-03-22,Negative,5073
2018-03-23,Neutral,23075
2018-03-23,Positive,12044
2018-03-23,Negative,3888
2018-03-24,Neutral,19934
2018-03-24,Positive,10357
2018-03-24,Negative,2867
2018-03-25,Neutral,19670
2018-03-25,Positive,10330
2018-03-25,Negative,2889
2018-03-26,Neutral,25184
2018-03-26,Positive,12970
2018-03-26,Negative,4185
2018-03-27,Neutral,23867
2018-03-27,Positive,12843
2018-03-27,Negative,3785
2018-03-28,Neutral,24886
2018-03-28,Positive,12689
2018-03-28,Negative,3788
2018-03-29,Neutral,26314
2018-03-29,Positive,13581
2018-03-29,Negative,4878
2018-03-30,Neutral,24308
2018-03-30,Positive,11927
2018-03-30,Negative,4020
2018-04-01,Neutral,16553
2018-04-01,Positive,7910
2018-04-01,Negative,2622
2018-04-02,Neutral,23667
2018-04-02,Positive,12382
2018-04-02,Negative,4499
2018-04-03,Neutral,23176
2018-04-03,Positive,12498
2018-04-03,Negative,4452
2018-04-04,Neutral,23602
2018-04-04,Positive,12263
2018-04-04,Negative,4496
2018-04-05,Neutral,24609
2018-04-05,Positive,12963
2018-04-05,Negative,4287
2018-04-06,Neutral,22901
2018-04-06,Positive,11601
2018-04-06,Negative,4639
2018-04-07,Neutral,19103
2018-04-07,Positive,10023
2018-04-07,Negative,3183
2018-04-08,Neutral,22168
2018-04-08,Positive,12497
2018-04-08,Negative,3694
2018-04-09,Neutral,24995
2018-04-09,Positive,13109
2018-04-09,Negative,4849
2018-04-10,Neutral,24585
2018-04-10,Positive,12561
2018-04-10,Negative,4399
2018-04-11,Neutral,24195
2018-04-11,Positive,12564
2018-04-11,Negative,4108
2018-04-12,Neutral,27489
2018-04-12,Positive,15237
2018-04-12,Negative,5214
2018-04-13,Neutral,24587
2018-04-13,Positive,13565
2018-04-13,Negative,4349
2018-04-14,Neutral,20206
2018-04-14,Positive,10261
2018-04-14,Negative,2930
2018-04-15,Neutral,21200
2018-04-15,Positive,11117
2018-04-15,Negative,2979
2018-04-16,Neutral,24910
2018-04-16,Positive,12636
2018-04-16,Negative,3647
2018-04-17,Neutral,25164
2018-04-17,Positive,13339
2018-04-17,Negative,4186
2018-04-18,Neutral,26732
2018-04-18,Positive,13021
2018-04-18,Negative,4017
2018-04-19,Neutral,24908
2018-04-19,Positive,13324
2018-04-19,Negative,4338
2018-04-20,Neutral,23230
2018-04-20,Positive,12430
2018-04-20,Negative,3594
2018-04-21,Neutral,20767
2018-04-21,Positive,11022
2018-04-21,Negative,2928
2018-04-22,Neutral,21712
2018-04-22,Positive,11533
2018-04-22,Negative,3172
2018-04-23,Neutral,27137
2018-04-23,Positive,13926
2018-04-23,Negative,4420
2018-04-24,Neutral,26548
2018-04-24,Positive,14388
2018-04-24,Negative,4918
2018-04-25,Neutral,24782
2018-04-25,Positive,13475
2018-04-25,Negative,4025
2018-04-26,Neutral,22747
2018-04-26,Positive,11899
2018-04-26,Negative,3411
2018-04-27,Neutral,19678
2018-04-27,Positive,10275
2018-04-27,Negative,3481
2018-04-28,Neutral,17569
2018-04-28,Positive,8410
2018-04-28,Negative,2961
2018-04-29,Neutral,16876
2018-04-29,Positive,8395
2018-04-29,Negative,3038
2018-04-30,Neutral,20216
2018-04-30,Positive,10240
2018-04-30,Negative,3090
2018-05-01,Neutral,20019
2018-05-01,Positive,10758
2018-05-01,Negative,3134
2018-05-02,Neutral,22286
2018-05-02,Positive,12371
2018-05-02,Negative,3200
2018-05-03,Neutral,23009
2018-05-03,Positive,11329
2018-05-03,Negative,3345
2018-05-04,Neutral,21787
2018-05-04,Positive,11493
2018-05-04,Negative,3210
2018-05-05,Neutral,19316
2018-05-05,Positive,9830
2018-05-05,Negative,3145
2018-05-06,Neutral,18585
2018-05-06,Positive,9034
2018-05-06,Negative,3545
2018-05-07,Neutral,23656
2018-05-07,Positive,13075
2018-05-07,Negative,4834
2018-05-08,Neutral,23470
2018-05-08,Positive,12350
2018-05-08,Negative,3460
2018-05-09,Neutral,21405
2018-05-09,Positive,11932
2018-05-09,Negative,3692
2018-05-10,Neutral,21702
2018-05-10,Positive,11401
2018-05-10,Negative,3277
2018-05-11,Neutral,22429
2018-05-11,Positive,11627
2018-05-11,Negative,4027
2018-05-12,Neutral,17730
2018-05-12,Positive,9312
2018-05-12,Negative,3064
2018-05-13,Neutral,18118
2018-05-13,Positive,9988
2018-05-13,Negative,2786
2018-05-14,Neutral,22643
2018-05-14,Positive,11862
2018-05-14,Negative,3707
2018-05-15,Neutral,22831
2018-05-15,Positive,11708
2018-05-15,Negative,3832
2018-05-16,Neutral,22324
2018-05-16,Positive,11813
2018-05-16,Negative,3247
2018-05-17,Neutral,22638
2018-05-17,Positive,12052
2018-05-17,Negative,4306
2018-05-18,Neutral,20113
2018-05-18,Positive,11654
2018-05-18,Negative,3630
2018-05-19,Neutral,16193
2018-05-19,Positive,8188
2018-05-19,Negative,2986
2018-05-20,Neutral,17165
2018-05-20,Positive,8297
2018-05-20,Negative,3007
2018-05-21,Neutral,19635
2018-05-21,Positive,10798
2018-05-21,Negative,3377
2018-05-22,Neutral,22691
2018-05-22,Positive,12607
2018-05-22,Negative,3378
2018-05-23,Neutral,23015
2018-05-23,Positive,12125
2018-05-23,Negative,3582
2018-05-24,Neutral,22931
2018-05-24,Positive,11330
2018-05-24,Negative,4947
2018-05-25,Neutral,19641
2018-05-25,Positive,10487
2018-05-25,Negative,3467
2018-05-26,Neutral,15934
2018-05-26,Positive,8794
2018-05-26,Negative,3350
2018-05-27,Neutral,17227
2018-05-27,Positive,8607
2018-05-27,Negative,2929
2018-05-28,Neutral,19979
2018-05-28,Positive,9784
2018-05-28,Negative,3013
2018-05-29,Neutral,18996
2018-05-29,Positive,10602
2018-05-29,Negative,3431
2018-05-30,Neutral,18424
2018-05-30,Positive,10697
2018-05-30,Negative,3066
2018-05-31,Neutral,19671
2018-05-31,Positive,10623
2018-05-31,Negative,2499
2018-06-01,Neutral,19841
2018-06-01,Positive,10216
2018-06-01,Negative,2753
2018-06-02,Neutral,15843
2018-06-02,Positive,8745
2018-06-02,Negative,2305
2018-06-03,Neutral,16436
2018-06-03,Positive,9111
2018-06-03,Negative,2308
2018-06-04,Neutral,19318
2018-06-04,Positive,10530
2018-06-04,Negative,3229
2018-06-05,Neutral,19777
2018-06-05,Positive,10621
2018-06-05,Negative,3887
2018-06-06,Neutral,19601
2018-06-06,Positive,11382
2018-06-06,Negative,4013
2018-06-07,Neutral,18938
2018-06-07,Positive,10824
2018-06-07,Negative,3038
2018-06-08,Neutral,18074
2018-06-08,Positive,9625
2018-06-08,Negative,2641
2018-06-09,Neutral,15911
2018-06-09,Positive,8060
2018-06-09,Negative,2466
2018-06-10,Neutral,18555
2018-06-10,Positive,9983
2018-06-10,Negative,3112
2018-06-11,Neutral,23026
2018-06-11,Positive,10827
2018-06-11,Negative,4431
2018-06-12,Neutral,19886
2018-06-12,Positive,9869
2018-06-12,Negative,3451
2018-06-13,Neutral,21941
2018-06-13,Positive,11893
2018-06-13,Negative,5221
2018-06-14,Neutral,19301
2018-06-14,Positive,10931
2018-06-14,Negative,4628
2018-06-15,Neutral,18008
2018-06-15,Positive,9056
2018-06-15,Negative,3147
2018-06-16,Neutral,14144
2018-06-16,Positive,6924
2018-06-16,Negative,2281
2018-06-17,Neutral,14588
2018-06-17,Positive,7770
2018-06-17,Negative,2183
2018-06-18,Neutral,18761
2018-06-18,Positive,9845
2018-06-18,Negative,3056
2018-06-19,Neutral,18552
2018-06-19,Positive,9972
2018-06-19,Negative,3262
2018-06-20,Neutral,17871
2018-06-20,Positive,9922
2018-06-20,Negative,2680
2018-06-21,Neutral,17629
2018-06-21,Positive,9408
2018-06-21,Negative,2892
2018-06-22,Neutral,19745
2018-06-22,Positive,9355
2018-06-22,Negative,3352
2018-06-23,Neutral,14566
2018-06-23,Positive,7532
2018-06-23,Negative,2175
2018-06-24,Neutral,15060
2018-06-24,Positive,8150
2018-06-24,Negative,2420
2018-06-25,Neutral,18531
2018-06-25,Positive,10022
2018-06-25,Negative,2733
2018-06-26,Neutral,17944
2018-06-26,Positive,9698
2018-06-26,Negative,2779
2018-06-27,Neutral,16711
2018-06-27,Positive,10338
2018-06-27,Negative,3255
2018-06-28,Neutral,17691
2018-06-28,Positive,9475
2018-06-28,Negative,3227
2018-06-29,Neutral,18920
2018-06-29,Positive,10093
2018-06-29,Negative,3270
2018-06-30,Neutral,14610
2018-06-30,Positive,7616
2018-06-30,Negative,2220
2018-07-01,Neutral,14524
2018-07-01,Positive,7825
2018-07-01,Negative,2417
2018-07-02,Neutral,18960
2018-07-02,Positive,9577
2018-07-02,Negative,3323
2018-07-03,Neutral,18710
2018-07-03,Positive,8699
2018-07-03,Negative,2658
2018-07-04,Neutral,17344
2018-07-04,Positive,8282
2018-07-04,Negative,2241
2018-07-05,Neutral,17617
2018-07-05,Positive,9050
2018-07-05,Negative,2812
2018-07-06,Neutral,16424
2018-07-06,Positive,8579
2018-07-06,Negative,2566
2018-07-07,Neutral,12693
2018-07-07,Positive,7015
2018-07-07,Negative,2088
2018-07-08,Neutral,13454
2018-07-08,Positive,7362
2018-07-08,Negative,2434
2018-07-09,Neutral,16835
2018-07-09,Positive,9587
2018-07-09,Negative,3250
2018-07-10,Neutral,17134
2018-07-10,Positive,8667
2018-07-10,Negative,2800
2018-07-11,Neutral,16952
2018-07-11,Positive,9159
2018-07-11,Negative,2606
2018-07-12,Neutral,17520
2018-07-12,Positive,9162
2018-07-12,Negative,2533
2018-07-13,Neutral,16634
2018-07-13,Positive,8925
2018-07-13,Negative,3618
2018-07-14,Neutral,13168
2018-07-14,Positive,7043
2018-07-14,Negative,2619
2018-07-15,Neutral,13165
2018-07-15,Positive,7335
2018-07-15,Negative,2115
2018-07-16,Neutral,19058
2018-07-16,Positive,9602
2018-07-16,Negative,2872
2018-07-17,Neutral,19992
2018-07-17,Positive,11697
2018-07-17,Negative,3289
2018-07-18,Neutral,18908
2018-07-18,Positive,11068
2018-07-18,Negative,3309
2018-07-19,Neutral,17568
2018-07-19,Positive,10091
2018-07-19,Negative,2687
2018-07-20,Neutral,16067
2018-07-20,Positive,9645
2018-07-20,Negative,2626
2018-07-21,Neutral,12727
2018-07-21,Positive,7829
2018-07-21,Negative,2261
2018-07-22,Neutral,14357
2018-07-22,Positive,8014
2018-07-22,Negative,2376
2018-07-23,Neutral,17961
2018-07-23,Positive,11116
2018-07-23,Negative,3228
2018-07-24,Neutral,20848
2018-07-24,Positive,12376
2018-07-24,Negative,4556
2018-07-25,Neutral,18223
2018-07-25,Positive,10158
2018-07-25,Negative,3293
2018-07-26,Neutral,17619
2018-07-26,Positive,10426
2018-07-26,Negative,4568
2018-07-27,Neutral,15711
2018-07-27,Positive,9849
2018-07-27,Negative,4252
2018-07-28,Neutral,12620
2018-07-28,Positive,8056
2018-07-28,Negative,2275
2018-07-29,Neutral,13091
2018-07-29,Positive,7966
2018-07-29,Negative,2391
2018-07-30,Neutral,17573
2018-07-30,Positive,9959
2018-07-30,Negative,2945
2018-07-31,Neutral,17329
2018-07-31,Positive,9869
2018-07-31,Negative,3024
2018-08-01,Neutral,16742
2018-08-01,Positive,9371
2018-08-01,Negative,3272
2018-08-02,Neutral,16719
2018-08-02,Positive,9439
2018-08-02,Negative,3158
2018-08-03,Neutral,16352
2018-08-03,Positive,11333
2018-08-03,Negative,3230
2018-08-04,Neutral,13172
2018-08-04,Positive,7627
2018-08-04,Negative,2314
2018-08-05,Neutral,12500
2018-08-05,Positive,8051
2018-08-05,Negative,2130
2018-08-06,Neutral,15912
2018-08-06,Positive,10108
2018-08-06,Negative,2995
2018-08-07,Neutral,15818
2018-08-07,Positive,9894
2018-08-07,Negative,4602
2018-08-08,Neutral,16166
2018-08-08,Positive,10182
2018-08-08,Negative,4928
2018-08-09,Neutral,16199
2018-08-09,Positive,9469
2018-08-09,Negative,3553
2018-08-10,Neutral,15619
2018-08-10,Positive,10079
2018-08-10,Negative,3070
2018-08-11,Neutral,12970
2018-08-11,Positive,7948
2018-08-11,Negative,2482
2018-08-12,Neutral,12541
2018-08-12,Positive,7493
2018-08-12,Negative,2514
2018-08-13,Neutral,16342
2018-08-13,Positive,9732
2018-08-13,Negative,3548
2018-08-14,Neutral,18076
2018-08-14,Positive,10592
2018-08-14,Negative,3468
2018-08-15,Neutral,15510
2018-08-15,Positive,9211
2018-08-15,Negative,3031
2018-08-16,Neutral,14212
2018-08-16,Positive,9433
2018-08-16,Negative,2500
2018-08-17,Neutral,14763
2018-08-17,Positive,9638
2018-08-17,Negative,2273
2018-08-18,Neutral,10913
2018-08-18,Positive,7248
2018-08-18,Negative,2185
2018-08-19,Neutral,11056
2018-08-19,Positive,7801
2018-08-19,Negative,2736
2018-08-20,Neutral,14857
2018-08-20,Positive,9571
2018-08-20,Negative,3633
2018-08-21,Neutral,16635
2018-08-21,Positive,10310
2018-08-21,Negative,3679
2018-08-22,Neutral,15264
2018-08-22,Positive,9650
2018-08-22,Negative,4750
2018-08-23,Neutral,14421
2018-08-23,Positive,9667
2018-08-23,Negative,5204
2018-08-24,Neutral,14179
2018-08-24,Positive,9183
2018-08-24,Negative,3571
2018-08-25,Neutral,12237
2018-08-25,Positive,7049
2018-08-25,Negative,2451
2018-08-26,Neutral,11952
2018-08-26,Positive,7446
2018-08-26,Negative,2428
2018-08-27,Neutral,16001
2018-08-27,Positive,9922
2018-08-27,Negative,2750
2018-08-28,Neutral,15781
2018-08-28,Positive,9815
2018-08-28,Negative,3009
2018-08-29,Neutral,15477
2018-08-29,Positive,9630
2018-08-29,Negative,2669
2018-08-30,Neutral,15167
2018-08-30,Positive,9326
2018-08-30,Negative,2843
2018-08-31,Neutral,14626
2018-08-31,Positive,9322
2018-08-31,Negative,2581
2018-09-01,Neutral,12330
2018-09-01,Positive,8090
2018-09-01,Negative,1926
2018-09-02,Neutral,12710
2018-09-02,Positive,8228
2018-09-02,Negative,2215
2018-09-03,Neutral,14432
2018-09-03,Positive,9138
2018-09-03,Negative,2758
2018-09-04,Neutral,15036
2018-09-04,Positive,10077
2018-09-04,Negative,2791
2018-09-05,Neutral,17121
2018-09-05,Positive,10301
2018-09-05,Negative,3565
2018-09-06,Neutral,16127
2018-09-06,Positive,9832
2018-09-06,Negative,3273
2018-09-07,Neutral,13869
2018-09-07,Positive,8789
2018-09-07,Negative,2754
2018-09-08,Neutral,11210
2018-09-08,Positive,7158
2018-09-08,Negative,1939
2018-09-09,Neutral,11271
2018-09-09,Positive,6891
2018-09-09,Negative,2718
2018-09-10,Neutral,14193
2018-09-10,Positive,8844
2018-09-10,Negative,4046
2018-09-11,Neutral,13913
2018-09-11,Positive,8799
2018-09-11,Negative,2633
2018-09-12,Neutral,14424
2018-09-12,Positive,9405
2018-09-12,Negative,2876
2018-09-13,Neutral,15772
2018-09-13,Positive,9152
2018-09-13,Negative,2619
2018-09-14,Neutral,13776
2018-09-14,Positive,8098
2018-09-14,Negative,2292
2018-09-15,Neutral,10963
2018-09-15,Positive,6889
2018-09-15,Negative,1805
2018-09-16,Neutral,11312
2018-09-16,Positive,6680
2018-09-16,Negative,2087
2018-09-17,Neutral,13634
2018-09-17,Positive,8510
2018-09-17,Negative,2599
2018-09-18,Neutral,13964
2018-09-18,Positive,8548
2018-09-18,Negative,2563
2018-09-19,Neutral,15153
2018-09-19,Positive,9372
2018-09-19,Negative,2890
2018-09-20,Neutral,14567
2018-09-20,Positive,9439
2018-09-20,Negative,3335
2018-09-21,Neutral,15435
2018-09-21,Positive,8997
2018-09-21,Negative,3386
2018-09-22,Neutral,11243
2018-09-22,Positive,6949
2018-09-22,Negative,2285
2018-09-23,Neutral,11118
2018-09-23,Positive,7771
2018-09-23,Negative,2196
2018-09-24,Neutral,14079
2018-09-24,Positive,9171
2018-09-24,Negative,2926
2018-09-25,Neutral,14721
2018-09-25,Positive,9278
2018-09-25,Negative,2448
2018-09-26,Neutral,14311
2018-09-26,Positive,9407
2018-09-26,Negative,2329
2018-09-27,Neutral,14763
2018-09-27,Positive,8170
2018-09-27,Negative,2818
2018-09-28,Neutral,12873
2018-09-28,Positive,7884
2018-09-28,Negative,2697
2018-09-29,Neutral,10245
2018-09-29,Positive,6831
2018-09-29,Negative,1808
